d621,312.77,Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,4861,Sandoz,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 61314-030-02)"
d622,243.66,Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,6134,Bausch Health,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 24208-486-10)"
d623,828.11,Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,9487,Teva Pharmaceuticals,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 0591-2482-79)"
d624,982.28,Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,3955,Teva Pharmaceuticals,"Dorzolamide Hydrochloride and Timolol Maleate 20 mg and 5 mg/mL, 10 mL (0591-2482-79)"
d625,932.29,Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,3110,Aurobindo Pharma,"Dorzolamide HCl and Timolol Maleate (Cosopt® PF) Ophthalmic Solution 2%/0.5% Preservative Free, 2mL single use container (NDC 65862-0947-60)"
d626,598.58,Dorzolamide Hydrochloride Ophthalmic Solution,9552,Teva Pharmaceuticals,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 0591-2481-79)"
d627,709.39,Dorzolamide Hydrochloride Ophthalmic Solution,3828,Teva Pharmaceuticals,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 0093-7618-43)"
d628,924.22,Dorzolamide Hydrochloride Ophthalmic Solution,665,Teva Pharmaceuticals,"Dorzolamide Hydrochloride 22.3 mg/mL, 10 mL (NDC 0591-2481-79)"
d629,449.38,Dorzolamide Hydrochloride Ophthalmic Solution,5501,Teva Pharmaceuticals,"Dorzolamide Hydrochloride 22.3 mg/mL, 10 mL (NDC 0093-7618-43)"
d63,314.16,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,7768,"Mylan Pharmaceuticals Inc., a Viatris Company",15mg [3.75/3.75/3.75/3.75mg] 100s (NDC 0378-4545-01)
d630,646.81,Dorzolamide Hydrochloride Ophthalmic Solution,8574,Sandoz,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 61314-019-10)"
d631,374.62,Dorzolamide Hydrochloride Ophthalmic Solution,2989,Akorn Pharmaceuticals,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 50383-232-10)"
d632,21.95,Dorzolamide Hydrochloride Ophthalmic Solution,2039,Merck Sharp & Dohme Corp.,"TRUSOPT® dorzolamide hydrochloride ophthalmic solution 2%, 10 mL in an 18 mL capacity bottle (NDC 0006-3519-36)"
d633,946.9,Dorzolamide Hydrochloride Ophthalmic Solution,4883,Bausch Health,"Dorzolamide hydrochloride USP 2%, 10 mL (NDC 24208-485-10)"
d634,533.87,Doxycycline Hyclate Powder for Suspension,5332,"Hospira, Inc.",25mg/5mL (NDC 0069-0970-65)
d635,871.71,Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution,6778,Pfizer Pharmaceuticals,6.25 mg package for 0.125% (NDC 0046-1065-05)
d636,55.95,Efavirenz Tablets,9957,"Mylan Specialty, a Viatris Company",600 mg (NDC 0378-2233-93)
d637,664.51,Efavirenz; Emtricitabine; Tenofovir Disoproxil Fumarate (Atripla) Tablets,8725,"Gilead Sciences, LLC",600 mg; 200 mg; 300 mg (NDC 15584-0101-1)
d638,695.15,Enalaprilat Injection,8783,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2.5mg/2mL, vial (NDC 0143-9786-10)"
d639,452.93,Enalaprilat Injection,6653,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","1.25mg/mL, vial  (NDC 0143-9787-10)"
d64,286.82,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,5307,"Mylan Pharmaceuticals Inc., a Viatris Company",20mg [5/5/5/5mg] 100s (NDC 0378-4546-01)
d640,730.75,Enoxaparin Sodium Injection,871,Teva Pharmaceuticals,30 mg/0.3mL (NDCs 0703-8530-21 and 0703-8530-23)
d641,490.28,Enoxaparin Sodium Injection,3646,Teva Pharmaceuticals,40 mg/0.4 mL (NDCs 0703-8540-21 and 0703-8540-23)
d642,711.17,Enoxaparin Sodium Injection,5848,Teva Pharmaceuticals,60 mg/0.6 mL (NDCs 0703-8560-21 and 0703-8560-23)
d643,720.56,Enoxaparin Sodium Injection,7997,Teva Pharmaceuticals,80 mg/0.8 mL (NDCs 0703-8680-21 and 0703-8680-23)
d644,69.42,Enoxaparin Sodium Injection,8200,Teva Pharmaceuticals,100 mg/1 mL (NDCs 0703-8580-21 and 0703-8580-23)
d645,614.02,Enoxaparin Sodium Injection,7674,Teva Pharmaceuticals,120 mg/0.8 mL (NDCs 0703-8610-21 and 0703-8610-23)
d646,352.51,Enoxaparin Sodium Injection,7427,Teva Pharmaceuticals,150 mg/1 mL (NDCs 0703-8510-21 and 0703-8510-23)
d647,407.31,"Epinephrine Injection, 0.1 mg/mL",5679,"Hospira, Inc.","1 mg/10 mL (0.1 mg/mL); LifeShield Abboject Glass Syringe (NDC 0409-4933-01) (old NDC 00409-4921-34, pack of 10; NDC 0409-4921-20, individual)"
d648,496.26,"Epinephrine Injection, 0.1 mg/mL",9367,"Amphastar Pharmaceuticals, Inc./IMS","0.1mg/mL, 10mL, (NDC 76329-3316-1)"
d649,832.84,"Epinephrine Injection, Auto-Injector",1383,"Mylan Specialty, a Viatris Company",0.3 mg EpiPen® (NDC 49502-500-02); Authorized Generic (NDC 49502-102-02)
d65,613.58,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,3723,"Mylan Pharmaceuticals Inc., a Viatris Company",30mg [7.5/7.5/7.5/7.5mg] 100s (NDC 0378-4547-01)
d650,383.43,"Epinephrine Injection, Auto-Injector",5640,"Mylan Specialty, a Viatris Company",0.15 mg EpiPen® (NDC 49502-501-02); Authorized Generic (NDC 49502-101-02)
d651,397.25,"Epinephrine Injection, Auto-Injector",2351,Impax Laboratories,"0.15 mg/0.15 mL epinephrine injection, USP, pre-filled auto-injector (two pack)(NDC 0115-1695-49)"
d652,319.4,"Epinephrine Injection, Auto-Injector",9494,Impax Laboratories,"0.3 mg/0.3 mL epinephrine injection, USP, pre-filled auto-injector (two pack)(NDC 0115-1694-49)"
d653,266.99,"Epinephrine Injection, Auto-Injector",6817,Kaleo,"Carton containing two AUVI-Q (epinephrine injection, USP) 0.3 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-023-01)"
d654,942.61,"Epinephrine Injection, Auto-Injector",7867,Kaleo,"Carton containing two AUVI-Q (epinephrine injection, USP) 0.15 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-022-01)"
d655,884.79,"Epinephrine Injection, Auto-Injector",2990,Kaleo,"Carton containing two AUVI-Q (epinephrine injection, USP) 0.1 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-021-01)"
d656,524.82,"Epinephrine Injection, Auto-Injector",3445,Teva Pharmaceuticals,"0.3 mg/mL epinephrine injection, USP, auto-injector (NDC 0093-5986-27)"
d657,485.92,"Epinephrine Injection, Auto-Injector",1464,Adamis Pharmaceuticals Corporation,"Carton containing two SYMJEPI (epinephrine injection, USP) 0.3 mg single-dose, pre-filled syringes (NDC 0781-3442-20)"
d658,564.48,"Epinephrine Injection, Auto-Injector",8716,Adamis Pharmaceuticals Corporation,"Carton containing two SYMJEPI (epinephrine injection, USP) 0.15 mg single-dose, pre-filled syringes (NDC 0781-3448-20)"
d659,790.98,"Epinephrine Injection, Auto-Injector",911,Teva Pharmaceuticals,"0.15 MG Epinephrine Injection, USP auto-injector (NDC 0093-5985-27)"
d66,528.98,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,4049,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 5 mg, 100 (NDC 13107-0068-01)"
d660,99.99,Eptifibatide (Integrilin) Injection,5280,Merck Sharp & Dohme Corp.,20 mg/10ml (2 mg/ml)(NDC 0085-1177-01)
d661,310.2,Eptifibatide (Integrilin) Injection,509,Merck Sharp & Dohme Corp.,75 mg/100ml (0.75 mg/ml)(NDC 0085-1136-01)
d662,153.14,Eptifibatide (Integrilin) Injection,1101,Merck Sharp & Dohme Corp.,200 mg/100ml (2 mg/ml)(NDC 0085-1177-02)
d663,814.25,Ergotamine Tartrate and Caffeine (Cafergot) Tablets,2589,Sandoz,1mg/100mg (NDC 0781-5405-01)
d664,308.04,Erlotinib Hydrochloride Tablets,9975,"Astellas Pharma Global Development, Inc.",25 mg tablets (NDC 50242-062-01)
d665,774.79,Erlotinib Hydrochloride Tablets,9478,"Astellas Pharma Global Development, Inc.",100 mg tablets (NDC 50242-063-01)
d666,486.73,Erlotinib Hydrochloride Tablets,1450,"Astellas Pharma Global Development, Inc.",150 mg tablets (NDC 50242-064-01)
d667,754.09,Erythromycin Ethylsuccinate Powder for Suspension,2572,"Endo Pharmaceuticals, Inc.",200 mg/5 mL  (NDC 0254-1020-47)
d668,621.24,Erythromycin Ethylsuccinate Powder for Suspension,2208,"Endo Pharmaceuticals, Inc.",400 mg/5 mL (NDC 0254-1021-47)
d669,27.65,Erythromycin Ophthalmic Ointment,7266,Akorn Pharmaceuticals,Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-070-35)
d67,459.86,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,3161,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 10 mg, 100 (NDC 13107-0070-01)"
d670,61.92,Erythromycin Ophthalmic Ointment,7048,Akorn Pharmaceuticals,Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC17478-070-31)
d671,976.65,Erythromycin Ophthalmic Ointment,382,Akorn Pharmaceuticals,Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-824-35)(Premier)
d672,241.27,Erythromycin Ophthalmic Ointment,816,Akorn Pharmaceuticals,Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC 17478-824-01)(Premier)
d673,145.71,Erythromycin Ophthalmic Ointment,3190,Bausch Health,3.5 g in 1 Tube (NDC 24208-910-55)
d674,337.69,Erythromycin Ophthalmic Ointment,4092,Bausch Health,1 g in cartons of 50 (NDC 24208-910-19)
d675,159.02,Erythromycin Ophthalmic Ointment,5315,Perrigo Company PLC,"1 gram, 50-count (NDC 00574-4024-50)"
d676,402.41,Erythromycin Ophthalmic Ointment,1276,Perrigo Company PLC,"3.5 gram, 1-count (NDC 00574-4024-35)"
d677,147.88,Erythromycin Ophthalmic Ointment,6329,Perrigo Company PLC,"3.5 gram, 24-count (NDC 00574-4024-39)"
d678,712.71,Esomeprazole Sodium for Injection,8827,"Mylan Institutional, a Viatris company","40 mg vial, box of 10 (NDC 67457-392-99)"
d679,679.74,Estradiol (Alora) Patch,7214,Allergan,(NDC 0023-5885-12)
d68,538.78,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,2012,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 15 mg, 100 (NDC 13107-0072-01)"
d680,905.66,Estradiol (Alora) Patch,7775,Allergan,(NDC 0023-5886-15)
d681,683.34,Estradiol (Alora) Patch,5239,Allergan,(NDC 0023-5887-17)
d682,784.91,Estradiol (Alora) Patch,7856,Allergan,(NDC 0023-5888-11)
d683,305.75,Ethacrynic Acid Tablets,2655,"Endo Pharmaceuticals, Inc.",25 mg/1 (NDC 49884-276-01)
d684,565.56,Ethambutol Hydrochloride Tablets,2356,Teva Pharmaceuticals,400 mg  (NDC 0555-0923-02)
d685,169.44,Ethambutol Hydrochloride Tablets,9142,Teva Pharmaceuticals,400mg  (NDC 0555-0923-02)
d686,719.1,Etomidate Injection,2784,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"2 mg/mL, 10 mL vial (NDC 55150-221-10)"
d687,24.91,Etomidate Injection,172,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"40 mg/mL, 20 mL vial (NDC 55150-222-20)"
d688,512.09,Etomidate Injection,8058,Gland Pharma Limited,"2 mg/mL, 10 mL vial (NDC 72266-146-10)"
d689,365.07,Etomidate Injection,6142,Gland Pharma Limited,"2 mg/mL, 20 mL vial (NDC 72266-147-10)"
d69,723.31,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,2590,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 20 mg, 100 (NDC 13107-0073-01)"
d690,787.75,Etomidate Injection,516,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 10 mL vial (NDC 0143-9506-10)"
d691,180.83,Etomidate Injection,9830,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 20 mL vial (NDC 0143-9507-10)"
d692,548.86,Etomidate Injection,9397,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 10 mL vial (NDC 0143-9310-10), Novaplus"
d693,654.01,Etomidate Injection,3410,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 20 mL vial (NDC 0143-9311-10), Novaplus"
d694,401.1,Etomidate Injection,911,"Mylan Pharmaceuticals Inc., a Viatris Company","2 mg/mL, 10 mL vial (NDC 67457-902-10)"
d695,273.49,Etomidate Injection,5096,"Mylan Pharmaceuticals Inc., a Viatris Company","2 mg/mL, 20 mL vial (NDC 67457-903-20)"
d696,996.7,Etomidate Injection,946,Pfizer Pharmaceuticals,"Amidate, 2 mg/mL, 10 mL vial (NDC 0409-6695-01)"
d697,522.89,Etomidate Injection,9845,Pfizer Pharmaceuticals,"Amidate, 2 mg/mL, 20 mL vial (NDC 0409-6695-02)"
d698,189.56,Etomidate Injection,6287,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)",20 mg/10mL carton of 10 (NDC 23155-160-41)
d699,56.94,Etomidate Injection,5881,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)",40 mg/20 mL carton of 10 (NDC 23155-160-42)
d7,70.49,Acetazolamide Injection,222,"X-GEN Pharmaceuticals, Inc.",500mg per vial (NDC 39822-0190-1)
d70,790.09,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,7551,Aurobindo Pharma,"Amphetamine Mixed Salts Tablets C-II 30 mg, 100 (NDC 13107-0074-01)"
d700,723.12,Etoposide Injection,1621,Accord Healthcare Inc.,20mg/mL (NDC 16729-262-31)
d701,996.73,Exenatide (BYDUREON) Extended Release for Injectable Suspension,2390,AstraZeneca,"BYDUREON® (exenatide extended-release) for injectable suspension, for subcutaneous use;  Single Dose Tray presentation; (2 mg) (NDC 0310-6520-04)"
d702,960.75,Famotidine Injection,509,Baxter Healthcare,"Famotidine Injection premix, 20mg/50 mL in GALAXY Plastic Container (NDC 0338-5197-41)"
d703,814.22,Famotidine Injection,8357,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 2 mL vial (NDC 0641-6022-25)"
d704,290.37,Famotidine Injection,3460,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 4 mL vial (NDC 0641-6023-25)"
d705,41.06,Famotidine Injection,8780,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 20 mL vial (NDC 0641-6021-10)"
d706,596.73,Famotidine Injection,6314,"Fresenius Kabi USA, LLC","20 mg per 2 mL (10 mg per mL), single dose vial, PF, (NDC 63323-739-12)"
d707,944.09,Famotidine Injection,4463,"Fresenius Kabi USA, LLC","40 mg per 4 mL (10 mg per mL), mutilple dose vial, (NDC 63323-738-09)"
d708,423.09,Famotidine Injection,4385,"Fresenius Kabi USA, LLC","200 mg per 20 mL(10 mg per mL), multiple dose vial, (NDC 63323-738-20)"
d709,166.23,Famotidine Injection,6344,"Mylan Institutional, a Viatris company",Famotidine Injection (Solution in Multi Dose Vials : Containing Preservatives) [40 mg / 4 ml] 10PK (NDC 67457-448-43)
d71,629.75,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,3178,Teva Pharmaceuticals,12.5  mg 100 count (NDC 0555-0776-02)
d710,196.42,Famotidine Injection,5250,"Mylan Institutional, a Viatris company",Famotidine Injection (Solution in Multi Dose Vials : Containing Preservatives) [200 mg / 20 ml] 10PK (NDC 67457-457-20)
d711,224.23,Famotidine Injection,9751,"Athenex Pharmaceutical Division, LLC (Athenex)","20 mg per 2 mL (10 mg per mL), single dose vial, PF, (NDC 70860-751-02 and 41)"
d712,232.7,Famotidine Injection,9553,"Athenex Pharmaceutical Division, LLC (Athenex)","200 mg per 20 mL(10 mg per mL), multiple dose vial with preservatives, (NDC 70860-751-20 and 41)"
d713,765.31,Famotidine Injection,2271,"Mylan Institutional, a Viatris company",Famotidine Injection (Solution in Single Dose Vials) [20 mg / 2 ml] 25PK (NDC 67457-433-22)
d714,49.04,Famotidine Tablets,2137,Teva Pharmaceuticals,20 MG 100 Count (NDC 0172-5728-60)
d715,392.19,Famotidine Tablets,953,Teva Pharmaceuticals,20 MG 1000 Count (NDC 0172-5728-80)
d716,884.04,Famotidine Tablets,7249,Teva Pharmaceuticals,20 MG 500 Count (NDC 0172-5728-70)
d717,913.81,Famotidine Tablets,9835,Teva Pharmaceuticals,40 MG 100 Count (NDC 0172-5729-60)
d718,240.22,Famotidine Tablets,3578,Teva Pharmaceuticals,40 MG 500 Count (NDC 0172-5729-70)
d719,924.04,Famotidine Tablets,3652,Aurobindo Pharma,20 mg - 100/Bottle (NDC 65862-859-01)
d72,32.31,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,3892,Teva Pharmaceuticals,15  mg 100 count (NDC 0555-0777-02)
d720,659.98,Famotidine Tablets,6887,Aurobindo Pharma,40 mg - 100/Bottle (NDC 65862-860-01)
d721,646.94,Famotidine Tablets,3837,Alembic Pharmaceuticals,20 mg Bottle of 100 counts (NDC 62332-001-31)
d722,962,Famotidine Tablets,9273,Alembic Pharmaceuticals,20 mg Bottle of 1000 counts (NDC 62332-001-91)
d723,129.49,Famotidine Tablets,8692,Alembic Pharmaceuticals,40 mg Bottle of 100 counts (NDC 62332-002-31)
d724,595.99,Famotidine Tablets,1497,Alembic Pharmaceuticals,40 mg Bottle of 500 counts (NDC 62332-002-71)
d725,968.33,Famotidine Tablets,386,Alembic Pharmaceuticals,40 mg Bottle of 1000 counts (NDC 62332-002-91)
d726,845.02,Famotidine Tablets,8414,"Carlsbad Technology, Inc.",20mg 100 count (NDC 61442-121-01)
d727,943.18,Famotidine Tablets,2278,"Carlsbad Technology, Inc.",20 mg 1000 count (NDC 61442-121-10)
d728,146.71,Famotidine Tablets,6642,"Carlsbad Technology, Inc.",40 mg 100 count (NDC 61442-122-01)
d729,96.33,Famotidine Tablets,2754,"Carlsbad Technology, Inc.",40 mg 1000 count (NDC 61442-122-10)
d73,273.95,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,1596,Teva Pharmaceuticals,7.5  mg 100 count (NDC 0555-0775-02)
d730,871.45,Febuxostat Tablets,5671,"Dr. Reddy's Laboratories, Inc.",40mg  (NDC NDC 55111-796-30)
d731,62.19,Febuxostat Tablets,1218,"Dr. Reddy's Laboratories, Inc.",80mg  (NDC NDC 55111-797-30)
d732,558.31,Febuxostat Tablets,3470,"Dr. Reddy's Laboratories, Inc.",40 mg (NDC 55111-796-30)
d733,687.27,Febuxostat Tablets,2969,"Dr. Reddy's Laboratories, Inc.",80 mg (NDC 55111-797-30)
d734,698.58,"Fenoldopam Mesylate (Corlopam) Injection, USP",4694,"Hospira, Inc.",20 mg/2 mL (10 mg/mL); Glass Ampul (NDC 00409-2304-02)
d735,268.88,"Fenoldopam Mesylate (Corlopam) Injection, USP",7031,"Hospira, Inc.",10 mg/mL (10 mg/mL); Glass Ampul (NDC 00409-2304-01)
d736,903,Fentanyl Citrate (Sublimaze) Injection,2209,"Fresenius Kabi USA, LLC",50 mcg per 1 mL (50 mcg per mL) Single Dose Simplist PFS  (NDC 63323-808-11)
d737,67.44,Fentanyl Citrate (Sublimaze) Injection,3614,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 1 mL vial
d739,113.99,Fentanyl Citrate (Sublimaze) Injection,3031,"Fresenius Kabi USA, LLC","1,000 mcg per 20 mL (50 mcg per mL) (0.05 mg per mL)  SDV (NDC 63323-806-20)"
d74,960.63,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,3245,Teva Pharmaceuticals,10  mg 100 count (NDC 0555-0972-02)
d740,952.95,Fentanyl Citrate (Sublimaze) Injection,9255,"Fresenius Kabi USA, LLC","2,500 mcg per 50 mL (50 mcg per mL) (0.05 mg per mL) SDV (NDC 63323-806-50)"
d741,690.48,Fentanyl Citrate (Sublimaze) Injection,6974,"Fresenius Kabi USA, LLC",50 mcg per 1 mL (50 mcg per mL) (0.05 mg per mL) SDV (NDC 63323-806-01)
d742,271.36,Fentanyl Citrate (Sublimaze) Injection,7712,"Fresenius Kabi USA, LLC",100 mcg per 2 mL (50 mcg per mL) (0.05 mg per mL) SDV (NDC 63323-806-02)
d743,299.23,Fentanyl Citrate (Sublimaze) Injection,2135,"Fresenius Kabi USA, LLC",250 mcg per 5 mL (50 mcg per mL) (0.05 mg per mL) SDV (NDC 63323-806-05)
d744,345.6,Fentanyl Citrate (Sublimaze) Injection,312,"Hospira, Inc.",100 mcg/2 mL (50 mcg/mL); Carpuject Luer Lock Glass Syringe (NDC 00409-1276-32)
d745,364.68,Fentanyl Citrate (Sublimaze) Injection,332,"Hospira, Inc.",100 mcg/2 mL (50 mcg/mL); Glass Ampul (NDC 00409-9093-32)
d746,296.4,Fentanyl Citrate (Sublimaze) Injection,5507,"Hospira, Inc.",250 mcg/5 mL (50 mcg/mL); Glass Ampul (NDC 00409-9093-35)
d747,414.9,Fentanyl Citrate (Sublimaze) Injection,7162,"Hospira, Inc.",1000 mcg/20 mL (50 mcg/mL); Glass Ampul (NDC 00409-9093-38)
d748,725.01,Fentanyl Citrate (Sublimaze) Injection,4483,"Hospira, Inc.",100 mcg/2 mL (50 mcg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9094-22)
d749,965.1,Fentanyl Citrate (Sublimaze) Injection,8301,"Hospira, Inc.",250 mcg/5 mL (50 mcg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9094-25)
d75,505.64,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,2468,Teva Pharmaceuticals,20 mg 100 count (NDC 0555-0973-02)
d750,703.32,Fentanyl Citrate (Sublimaze) Injection,9505,"Hospira, Inc.",500 mcg/10 mL (50 mcg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9094-28)
d751,896.46,Fentanyl Citrate (Sublimaze) Injection,5249,"Hospira, Inc.","1,000 mcg/20 mL (50 mcg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9094-31)"
d752,810.82,Fentanyl Citrate (Sublimaze) Injection,817,"Hospira, Inc.","2,500 mcg/50 mL (50 mcg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9094-61)"
d753,669.76,Fentanyl Citrate (Sublimaze) Injection,8362,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 2 mL ampul (NDC 0641-6024-10)
d754,66.33,Fentanyl Citrate (Sublimaze) Injection,7853,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 5 mL ampul (NDC 0641-6025-10)
d755,338.81,Fentanyl Citrate (Sublimaze) Injection,1660,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 20 mL ampul (NDC 0641-6026-05)
d756,569.97,Fentanyl Citrate (Sublimaze) Injection,4477,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 2 mL vial
d758,228.55,Fentanyl Citrate (Sublimaze) Injection,6328,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 5 mL vial
d76,545.71,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,7468,Teva Pharmaceuticals,30 mg 100 count (NDC 0555-0974-02)
d760,946.05,Fentanyl Citrate (Sublimaze) Injection,9365,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL 20 mL vial (NDC 0641-6029-25)
d761,791.98,Fentanyl Citrate (Sublimaze) Injection,1654,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",50 mcg/mL  50 mL vial
d763,885.46,Fentanyl Citrate (Sublimaze) Injection,1087,Akorn Pharmaceuticals,2 mL ampule 10 pack (NDC 17478-0030-02)
d764,836.26,Fentanyl Citrate (Sublimaze) Injection,1022,Akorn Pharmaceuticals,2 mL ampule; 25 pack (NDC 17478-0030-25)
d765,45.49,Fentanyl Citrate (Sublimaze) Injection,8297,Akorn Pharmaceuticals,5 mL ampule 10 pack (NDC 17478-0030-05)
d766,624.77,Fentanyl Citrate (Sublimaze) Injection,3282,Akorn Pharmaceuticals,20 mL ampule (NDC 17478-0030-20)
d767,42.42,Fentanyl Citrate (Sublimaze) Injection,5525,Akorn Pharmaceuticals,5 mL ampule 25 pack (NDC 17478-0030-55)
d768,248.14,Finasteride Tablets,8601,Mylan Pharmaceuticals Inc.,5 mg tablet (NDC 0378-5036-05)(NDC 0378-5036-77)(NDC 0378-5036-93)
d769,641.39,Finasteride Tablets,6827,Teva Pharmaceuticals,5 mg 30 CT (NDC 45963-500-30)
d77,336.15,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,6541,Teva Pharmaceuticals,5 mg 100 count (NDC 0555-0971-02)
d770,642.18,Finasteride Tablets,5208,Teva Pharmaceuticals,5 mg 90 CT (NDC 45963-500-08)
d771,916.14,Finasteride Tablets,8738,Teva Pharmaceuticals,"1mg tablet (NDC 45963-600-03, 45963-600-09)"
d772,836.49,Finasteride Tablets,8776,Teva Pharmaceuticals,5mg tablet (NDC 45963-500-02)
d773,210.96,Floxuridine for Injection,2305,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",500 mg per vial (NDC 0143-9270-01)
d774,211.68,"Floxuridine for Injection, USP",1031,"Fresenius Kabi USA, LLC",500 mg per vial (NDC 63323-145-07_
d775,446.69,Fludrocortisone Acetate Tablets,2861,Teva Pharmaceuticals,"0.1 mg, 100 count bottle (NDC 0555-0997-02)"
d776,265.39,Fludrocortisone Acetate Tablets,1822,Impax Laboratories,"0.1 mg, 100 count bottle (NDC 0115-7033-01)"
d777,424.43,Fludrocortisone Acetate Tablets,3073,Impax Laboratories,"0.1 mg, 500 count bottle (NDC 0115-7033-02)"
d778,708.65,Flumazenil Injection,5427,Mylan,"0.5 mg in 5 mL (0.1 mg/mL), multi-dose vial, 10 vials (NDC 67457-447-53)"
d779,729.77,Fluocinonide Gel 0.05%,3656,"Teligent Pharma, Inc.",15g (NDC 52565-054-15)
